id,name,station,dateTime,cancelled,direction,delay,platform
2|#VN#1#ST#1730325184#PI#0#ZI#319876#TA#0#DA#11124#1S#8000199#1T#713#LS#8500010#LT#1547#PU#80#RT#1#CA#ICE#ZE#279#ZB#ICE  279#PC#0#FR#8000199#FT#713#TO#8500010#TT#1547#,ICE 279,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:06:00+01:00,False,Basel SBB,0 days 00:35:00,6
2|#VN#1#ST#1730325184#PI#0#ZI#375138#TA#4#DA#11124#1S#8000105#1T#1206#LS#8000244#LT#1323#PU#80#RT#1#CA#RE#ZE#15317#ZB#RE 15317#PC#3#FR#8000105#FT#1206#TO#8000244#TT#1323#,RE 15317,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:06:00+01:00,False,Mannheim Hbf,0 days 00:01:00,12
2|#VN#1#ST#1730325184#PI#0#ZI#409372#TA#4#DA#11124#1S#8002108#1T#1138#LS#8002041#LT#1217#PU#80#RT#1#CA#s#ZE#5#ZB#S      5#PC#4#FR#8002108#FT#1138#TO#8002041#TT#1217#,S 5,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:07:00+01:00,False,Frankfurt(Main)Süd,0 days 00:03:00,101
2|#VN#1#ST#1730325184#PI#0#ZI#326404#TA#0#DA#11124#1S#8000261#1T#847#LS#8000098#LT#1403#PU#80#RT#1#CA#ICE#ZE#724#ZB#ICE  724#PC#0#FR#8000261#FT#847#TO#8000098#TT#1403#,ICE 724,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:09:00+01:00,False,Essen Hbf,0 days 00:01:00,7
2|#VN#1#ST#1730325184#PI#0#ZI#408989#TA#5#DA#11124#1S#8004400#1T#1133#LS#8001456#LT#1241#PU#80#RT#1#CA#s#ZE#2#ZB#S      2#PC#4#FR#8004400#FT#1133#TO#8001456#TT#1241#,S 2,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:09:00+01:00,False,Dietzenbach Bahnhof,0 days 00:02:00,102
2|#VN#1#ST#1730325184#PI#0#ZI#410575#TA#0#DA#11124#1S#8002041#1T#1158#LS#8000712#LT#1230#PU#80#RT#1#CA#s#ZE#5#ZB#S      5#PC#4#FR#8002041#FT#1158#TO#8000712#TT#1230#,S 5,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:09:00+01:00,False,Bad Homburg,0 days 00:01:00,104
2|#VN#1#ST#1730325184#PI#0#ZI#408798#TA#7#DA#11124#1S#8000285#1T#1128#LS#8000250#LT#1254#PU#80#RT#1#CA#s#ZE#1#ZB#S      1#PC#4#FR#8000285#FT#1128#TO#8000250#TT#1254#,S 1,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:12:00+01:00,False,Wiesbaden Hbf,0 days 00:02:00,103
2|#VN#1#ST#1730325184#PI#0#ZI#410617#TA#0#DA#11124#1S#8002388#1T#1140#LS#8002041#LT#1222#PU#80#RT#1#CA#s#ZE#6#ZB#S      6#PC#4#FR#8002388#FT#1140#TO#8002041#TT#1222#,S 6,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:12:00+01:00,False,Frankfurt(Main)Süd,0 days 00:01:00,101
2|#VN#1#ST#1730325184#PI#0#ZI#319939#TA#0#DA#11124#1S#8000105#1T#1214#LS#8800004#LT#1535#PU#80#RT#1#CA#IXB#ZE#314#ZB#ICE  314#PC#0#FR#8000105#FT#1214#TO#8800004#TT#1535#,ICE 314,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:14:00+01:00,False,Bruxelles Midi,0 days 00:02:00,17
2|#VN#1#ST#1730325184#PI#0#ZI#409141#TA#5#DA#11124#1S#8000068#1T#1135#LS#8000752#LT#1239#PU#80#RT#1#CA#s#ZE#3#ZB#S      3#PC#4#FR#8000068#FT#1135#TO#8000752#TT#1239#,S 3,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:14:00+01:00,False,Bad Soden(Taunus),0 days 00:02:00,104
2|#VN#1#ST#1730325184#PI#0#ZI#409803#TA#4#DA#11124#1S#8000250#1T#1118#LS#8004645#LT#1232#PU#80#RT#1#CA#s#ZE#8#ZB#S      8#PC#4#FR#8000250#FT#1118#TO#8004645#TT#1232#,S 8,"<class 'pyhafas.types.fptf.Station'>({'id': '8098105', 'lid': 'A=1@O=Frankfurt Hbf (tief)@X=8664136@Y=50107410@U=80@L=8098105@i=U×008067016@', 'name': 'Frankfurt Hbf (tief)', 'latitude': 50.10741, 'longitude': 8.664136})",2024-11-01 12:14:00+01:00,False,Offenbach(Main)Ost,0 days 00:01:00,102
2|#VN#1#ST#1730325184#PI#0#ZI#494688#TA#0#DA#11124#1S#8503000#1T#759#LS#8011102#LT#1644#PU#80#RT#1#CA#ICE#ZE#76#ZB#ICE   76#PC#0#FR#8503000#FT#759#TO#8011102#TT#1644#,ICE 76,"<class 'pyhafas.types.fptf.Station'>({'id': '8000105', 'lid': 'A=1@O=Frankfurt(Main)Hbf@X=8663785@Y=50107149@U=80@L=8000105@i=U×008011068@', 'name': 'Frankfurt(Main)Hbf', 'latitude': 50.107149, 'longitude': 8.663785})",2024-11-01 12:14:00+01:00,False,Berlin Gesundbrunnen,0 days 00:16:00,8
